-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1005.0     95   21.0   17.8     82  12.92    330      4  293.7  330.8  296.0
 1000.0    158   20.4   16.7     79  12.10    300      9  293.6  328.2  295.7
  995.0    201   20.3   16.2     77  11.75    300      9  293.9  327.6  295.9
  984.0    297   20.0   15.0     73  11.01    300     11  294.5  326.3  296.4
  977.0    359   20.4   15.0     71  11.09    300     14  295.5  327.7  297.5
  968.0    439   21.0   15.0     69  11.19    312     14  296.9  329.5  298.9
  959.0    520   21.0   15.0     69  11.30    323     13  297.7  330.7  299.7
  950.0    601   20.5   14.1     67  10.78    335     13  298.0  329.6  299.9
  934.0    748   19.6   12.6     64   9.90    332     13  298.5  327.7  300.3
  925.0    831   18.8   12.8     68  10.14    330     13  298.5  328.4  300.4
  918.0    896   18.2   12.6     70  10.07    330     13  298.6  328.2  300.4
  901.0   1056   16.9   12.1     73   9.90    335     12  298.8  328.0  300.6
  893.0   1132   16.2   11.8     75   9.82    329     12  298.9  327.8  300.6
  868.0   1373   14.7    9.4     70   8.59    310     12  299.7  325.2  301.3
  857.0   1481   14.0    8.3     68   8.08    325     12  300.1  324.2  301.6
  850.0   1551   13.6    7.6     67   7.76    315     10  300.4  323.6  301.8
  847.0   1581   13.4    7.2     66   7.57    310      9  300.5  323.2  301.9
  836.0   1691   12.9    5.7     62   6.90    305     12  301.0  321.8  302.3
  827.0   1782   12.4    4.4     58   6.38    305     12  301.5  320.8  302.6
  826.0   1792   12.5    3.0     53   5.79    305     12  301.6  319.3  302.7
  807.0   1987   13.6  -23.4      6   0.72    296     17  304.9  307.4  305.0
  796.0   2103   13.3  -33.9      2   0.28    290     20  305.7  306.7  305.8
  794.0   2124   13.2  -35.8      2   0.23    290     20  305.9  306.7  305.9
  787.0   2198   13.0  -36.0      2   0.23    290     18  306.4  307.3  306.5
  786.0   2209   12.9  -36.0      2   0.23    290     18  306.5  307.3  306.5
  776.0   2315   12.3  -35.8      2   0.23    290     18  306.9  307.8  307.0
  768.0   2401   11.8  -35.6      2   0.24    290     17  307.3  308.2  307.4
  758.0   2511   11.2  -35.4      2   0.25    290     17  307.8  308.7  307.9
  748.0   2621   10.6  -35.2      2   0.26    295     20  308.3  309.2  308.4
  739.0   2722   10.0  -35.1      3   0.26    300     19  308.8  309.7  308.8
  726.0   2870    9.2  -34.8      3   0.28    308     20  309.4  310.4  309.4
  723.0   2904    9.1  -36.1      2   0.24    310     20  309.6  310.6  309.7
  721.0   2927    9.0  -37.0      2   0.22    309     20  309.8  310.6  309.8
  708.0   3077    9.2  -39.8      2   0.17    304     17  311.6  312.3  311.7
  700.0   3171    8.6  -40.4      2   0.16    300     15  312.0  312.6  312.0
  687.0   3324    7.6  -38.1      2   0.21    270     12  312.5  313.3  312.6
  668.0   3553    6.0  -34.7      3   0.30    295     15  313.3  314.4  313.4
  660.0   3651    5.4  -33.2      4   0.35    300     14  313.6  315.0  313.7
  634.0   3979    3.2  -28.3      8   0.59    285     16  314.8  316.9  314.9
  625.0   4096    2.4  -26.6     10   0.70    277     15  315.1  317.7  315.3
  617.0   4200    1.9  -33.7      5   0.36    270     14  315.7  317.1  315.8
  601.0   4411    0.8  -48.2      1   0.08    274     17  316.9  317.2  316.9
  599.0   4438    0.6  -47.8      1   0.09    275     17  316.9  317.3  316.9
  562.0   4945   -3.1  -39.1      4   0.23    262     19  318.4  319.3  318.4
  558.0   5002   -3.4  -40.6      4   0.20    260     19  318.7  319.4  318.7
  552.0   5087   -3.9  -42.9      3   0.16    267     21  319.1  319.7  319.1
  550.0   5116   -4.1  -42.6      3   0.16    270     21  319.2  319.8  319.2
  537.0   5304   -5.3  -40.3      4   0.21    274     20  319.9  320.8  320.0
  535.0   5333   -5.5  -42.0      4   0.18    275     20  320.0  320.7  320.1
  523.0   5511   -6.7  -52.7      1   0.06    266     23  320.7  320.9  320.7
  521.0   5540   -6.9  -52.0      1   0.06    265     24  320.8  321.0  320.8
  514.0   5646   -7.5  -49.4      2   0.08    265     24  321.2  321.6  321.3
  508.0   5737   -8.1  -47.1      3   0.11    265     24  321.6  322.1  321.7
  506.0   5768   -8.3  -46.8      3   0.11    265     24  321.8  322.2  321.8
  500.0   5860   -8.9  -45.9      3   0.13    270     27  322.1  322.6  322.1
  499.0   5875   -9.0  -45.7      3   0.13    270     27  322.2  322.7  322.2
  493.0   5969   -9.7  -44.7      4   0.15    270     28  322.4  323.0  322.5
  492.0   5985   -9.8  -44.9      4   0.14    270     28  322.5  323.1  322.5
  486.0   6078  -10.4  -46.4      3   0.12    270     27  322.9  323.4  322.9
  480.0   6173  -11.1  -47.9      3   0.11    270     29  323.2  323.6  323.2
  468.0   6367  -12.4  -50.9      2   0.08    270     28  323.9  324.3  323.9
  461.0   6482  -13.2  -52.7      2   0.06    270     28  324.4  324.6  324.4
  455.0   6583  -13.8  -54.2      2   0.05    275     28  324.7  325.0  324.7
  451.0   6650  -14.3  -55.3      2   0.05    274     27  325.0  325.2  325.0
  441.0   6820  -15.2  -55.7      2   0.05    270     23  326.0  326.2  326.0
  430.0   7010  -16.1  -56.1      2   0.04    279     20  327.1  327.3  327.1
  429.0   7028  -16.2  -56.0      2   0.05    280     20  327.2  327.4  327.2
  423.0   7133  -17.2  -55.2      2   0.05    280     21  327.3  327.5  327.3
  411.0   7348  -19.1  -53.6      3   0.06    285     22  327.5  327.8  327.6
  406.0   7440  -19.9  -52.9      4   0.07    285     23  327.6  327.9  327.7
  405.0   7458  -20.1  -53.1      4   0.07    285     23  327.7  327.9  327.7
  400.0   7550  -20.9  -53.9      3   0.06    285     22  327.7  328.0  327.8
  386.0   7812  -23.1  -53.1      5   0.07    285     22  328.2  328.5  328.2
  383.0   7868  -23.6  -54.2      4   0.06    285     22  328.3  328.6  328.3
  376.0   8003  -24.7  -56.7      3   0.05    280     21  328.6  328.8  328.6
  357.0   8376  -27.8  -56.7      5   0.05    265     19  329.2  329.5  329.2
  352.0   8478  -28.7  -56.7      5   0.05    260     19  329.4  329.6  329.4
  343.0   8662  -30.2  -58.9      4   0.04    270     21  329.8  330.0  329.8
  339.0   8746  -30.9  -59.9      4   0.04    270     21  330.0  330.1  330.0
  338.0   8766  -31.1  -59.8      4   0.04    270     21  330.0  330.2  330.1
  332.0   8892  -32.0  -59.4      5   0.04    265     21  330.4  330.6  330.4
  326.0   9021  -33.0  -59.0      6   0.04    270     22  330.8  330.9  330.8
  322.0   9108  -33.7  -58.7      6   0.04    270     22  331.0  331.2  331.0
  318.0   9195  -34.2  -59.9      6   0.04    265     20  331.5  331.6  331.5
  311.0   9350  -35.1  -62.0      5   0.03    270     24  332.3  332.4  332.3
  307.0   9440  -35.7  -63.2      4   0.03    270     25  332.8  332.9  332.8
  304.0   9508  -36.1  -64.1      4   0.02    266     25  333.1  333.2  333.1
  303.0   9531  -36.2  -64.0      4   0.02    265     25  333.2  333.3  333.2
  300.0   9600  -36.7  -63.7      4   0.02    265     25  333.5  333.6  333.5
  296.0   9692  -37.2  -64.8      4   0.02    270     25  334.0  334.1  334.0
  292.0   9786  -37.8  -65.9      4   0.02    270     24  334.5  334.6  334.5
  281.0  10050  -39.4  -69.1      3   0.01    255     27  335.9  336.0  335.9
  279.0  10099  -39.7  -69.7      3   0.01    255     28  336.2  336.2  336.2
  276.0  10172  -40.3  -70.3      3   0.01    255     29  336.4  336.4  336.4
  263.0  10498  -42.4  -69.9      3   0.01    265     28  338.0  338.1  338.0
  259.0  10601  -43.0  -69.8      4   0.01    265     28  338.6  338.6  338.6
  256.0  10680  -43.5  -69.7      4   0.01    260     29  339.0  339.0  339.0
  252.0  10786  -44.2  -69.6      4   0.01    265     31  339.5  339.6  339.5
  250.0  10840  -44.5  -69.5      4   0.01    265     33  339.8  339.8  339.8
  236.0  11221  -46.8  -68.7      7   0.02    260     43  341.9  342.0  341.9
  229.0  11421  -48.0  -68.2      8   0.02    260     39  343.0  343.1  343.0
  224.0  11567  -48.9  -67.9      9   0.02    265     45  343.9  343.9  343.9
  222.0  11626  -49.1  -68.1      9   0.02    267     42  344.4  344.5  344.4
  218.0  11745  -48.9  -68.9      8   0.02    272     36  346.5  346.6  346.5
  216.0  11805  -49.1  -70.1      7   0.01    274     33  347.1  347.2  347.1
  215.0  11836  -49.1  -70.6      6   0.01    275     31  347.6  347.7  347.6
