-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1010.0     62    9.4    8.8     96   7.08     30      1  281.8  301.3  282.9
 1003.0    117   12.0   11.4     96   8.50    327      4  284.9  308.6  286.4
 1000.0    141   12.2   11.6     96   8.65    300      5  285.4  309.5  286.8
  999.0    149   12.2   11.6     96   8.65    300      5  285.4  309.6  286.9
  981.0    302   11.8   10.5     92   8.19    304      5  286.5  309.5  287.9
  972.0    379   13.0    9.5     79   7.72    305      5  288.5  310.4  289.8
  968.0    414   14.0    9.0     72   7.49    306      5  289.8  311.3  291.1
  966.0    432   16.2    8.2     59   7.11    307      5  292.2  312.8  293.5
  962.0    467   17.8    7.8     52   6.94    307      5  294.2  314.5  295.4
  957.0    512   18.2    8.2     52   7.18    308      6  295.0  316.1  296.3
  941.0    656   19.6    6.6     43   6.53    312      6  297.9  317.4  299.1
  931.0    748   19.4    6.4     43   6.51    314      6  298.6  318.1  299.8
  926.0    795   19.4    6.4     43   6.55    315      6  299.1  318.7  300.2
  925.0    804   19.4    6.4     43   6.56    315      6  299.1  318.8  300.3
  920.0    851   19.8   -0.2     26   4.12    313      7  300.0  312.7  300.8
  903.0   1011   20.4   -6.6     16   2.59    306      9  302.2  310.5  302.7
  899.0   1049   20.4   -2.6     21   3.53    304      9  302.6  313.7  303.3
  890.0   1136   19.8   -0.7     25   4.11    300     10  302.8  315.6  303.6
  885.0   1184   19.4    0.4     28   4.47    296     10  302.9  316.8  303.8
  873.0   1302   18.4    0.4     30   4.53    287      9  303.1  317.1  303.9
  867.0   1361   18.4   -0.6     28   4.24    283      9  303.7  316.9  304.5
  864.0   1390   18.6   -7.4     16   2.55    281      9  304.2  312.4  304.7
  860.0   1430   18.4   -4.6     21   3.17    278      9  304.4  314.5  305.0
  854.0   1490   18.0   -1.0     28   4.18    273      8  304.6  317.7  305.4
  850.0   1530   17.6   -1.4     27   4.08    270      8  304.6  317.4  305.3
  837.0   1661   16.6   -1.4     29   4.14    268      9  304.9  317.9  305.6
  823.0   1805   15.8   -4.2     25   3.42    266      9  305.5  316.3  306.1
  813.0   1907   15.0   -4.3     26   3.43    265     10  305.7  316.6  306.4
  806.0   1980   14.5   -4.4     27   3.43    285     10  305.9  316.8  306.5
  787.0   2180   12.9   -4.7     29   3.45    255     11  306.4  317.4  307.0
  757.0   2506   10.5   -5.1     33   3.48    265     12  307.1  318.2  307.8
  749.0   2595    9.8   -5.2     34   3.48    256     12  307.3  318.4  307.9
  743.0   2661    9.4   -6.2     33   3.25    250     12  307.6  318.0  308.2
  720.0   2921    7.9  -10.1     27   2.48    260     13  308.7  316.8  309.2
  701.0   3141    6.6  -13.4     22   1.95    232     11  309.6  316.1  310.0
  700.0   3153    6.6  -11.4     26   2.30    230     11  309.8  317.3  310.2
  696.0   3200    6.2  -10.8     28   2.42    225     11  309.8  317.8  310.3
  692.0   3247    5.8  -10.2     31   2.56    227     11  309.9  318.3  310.4
  674.0   3462    4.4  -14.6     24   1.84    236     10  310.7  316.8  311.0
  667.0   3546    4.6  -19.2     16   1.26    240     10  311.8  316.1  312.0
  658.0   3657    4.8  -25.2      9   0.75    273     10  313.3  315.9  313.4
  656.0   3682    4.7  -24.8     10   0.79    280     10  313.4  316.2  313.5
  633.0   3971    3.0  -20.0     17   1.24    263     11  314.7  319.0  314.9
  627.0   4048    2.8  -26.2     10   0.72    259     11  315.3  317.9  315.5
  609.0   4282    1.9  -28.0      9   0.63    245     12  316.9  319.2  317.0
  607.0   4309    1.8  -28.2      9   0.62    244     12  317.1  319.4  317.2
  591.0   4523    0.5  -31.9      7   0.45    240     12  318.0  319.7  318.1
  581.0   4659   -0.3  -34.3      6   0.36    250     13  318.6  320.0  318.7
  572.0   4782   -1.1  -34.5      6   0.36    260     14  319.1  320.5  319.2
  544.0   5179   -3.6  -35.3      7   0.35    245     13  320.7  322.1  320.8
  521.0   5520   -5.8  -36.0      7   0.34    260     12  322.1  323.4  322.1
  518.0   5565   -6.1  -36.1      7   0.34    254     13  322.3  323.6  322.3
  513.0   5640   -6.8  -34.8      9   0.39    245     14  322.4  323.9  322.4
  500.0   5840   -8.5  -31.5     14   0.55    250     16  322.6  324.7  322.7
  498.0   5871   -8.9  -31.9     14   0.53    251     16  322.5  324.5  322.6
  497.0   5887   -8.9  -31.9     14   0.53    251     16  322.7  324.7  322.8
  494.0   5934   -9.3  -31.3     15   0.57    252     16  322.8  324.9  322.9
  488.0   6028  -10.2  -32.2     15   0.53    255     15  322.8  324.8  322.9
  486.0   6060  -10.5  -32.5     15   0.52    254     15  322.8  324.7  322.9
  471.0   6301  -11.9  -38.9      9   0.28    250     15  323.9  325.1  324.0
  443.0   6766  -15.9  -39.2     12   0.29    240     16  324.6  325.7  324.6
  434.0   6922  -17.3  -39.3     13   0.29    242     15  324.8  325.9  324.8
  402.0   7493  -21.4  -45.3     10   0.17    250     12  326.6  327.3  326.6
  400.0   7530  -21.7  -45.7     10   0.16    250     12  326.7  327.4  326.7
  394.0   7641  -22.5  -46.5      9   0.15    240     14  327.1  327.7  327.1
  391.0   7697  -22.9  -46.9      9   0.14    242     14  327.3  327.9  327.3
  377.0   7960  -25.3  -46.2     12   0.16    250     14  327.5  328.2  327.6
  367.0   8155  -27.0  -45.7     15   0.18    230     13  327.7  328.4  327.8
  360.0   8294  -28.3  -45.3     18   0.19    231     13  327.9  328.6  327.9
  300.0   9570  -38.5  -55.5     15   0.07    245     17  331.0  331.3  331.0
  288.0   9849  -40.9  -55.9     18   0.07    253     17  331.4  331.7  331.5
  277.0  10112  -42.6  -58.5     16   0.05    260     17  332.7  332.9  332.7
  269.0  10310  -43.9  -60.4     14   0.04    250     16  333.6  333.8  333.6
  263.0  10462  -44.9  -61.9     13   0.04    248     19  334.3  334.5  334.3
  262.0  10488  -44.9  -62.9     12   0.03    248     19  334.7  334.8  334.7
  252.0  10747  -46.7  -64.7     11   0.03    246     24  335.7  335.9  335.7
  250.0  10800  -46.9  -64.9     11   0.02    245     25  336.2  336.3  336.2
  241.0  11043  -47.3  -67.3      8   0.02    245     29  339.1  339.2  339.1
  231.0  11323  -48.9  -66.9     11   0.02    245     34  340.9  340.9  340.9
  216.0  11764  -49.1  -70.1      7   0.01    240     38  347.1  347.2  347.1
  202.0  12205  -49.3  -73.3      4   0.01    253     43  353.5  353.6  353.5
  200.0  12270  -49.5  -72.5      5   0.01    255     44  354.2  354.3  354.2
  196.0  12402  -50.5  -72.5      6   0.01    256     45  354.7  354.7  354.7
  193.0  12502  -50.7  -73.7      5   0.01    258     46  355.9  356.0  355.9
  192.0  12536  -50.7  -73.7      5   0.01    258     46  356.4  356.5  356.5
  178.0  13029  -49.5  -78.5      2   0.00    263     51  366.2  366.2  366.2
  174.0  13176  -49.8  -79.1      2   0.00    265     52  368.1  368.1  368.1
  150.0  14140  -51.9  -82.9      1   0.00    275     35  380.4  380.5  380.4
  149.0  14183  -52.0  -83.0      1   0.00    275     34  380.9  380.9  380.9
  141.0  14537  -53.3  -83.4      1   0.00    245     36  384.8  384.8  384.8
  132.0  14961  -54.8  -84.0      2   0.00    270     29  389.5  389.5  389.5
  130.0  15059  -55.1  -84.1      2   0.00    264     28  390.6  390.6  390.6
  125.0  15309  -54.7  -84.4      1   0.00    250     26  395.8  395.8  395.8
  123.0  15412  -54.5  -84.5      1   0.00    250     25  397.9  397.9  397.9
  114.0  15893  -56.5  -85.6      1   0.00    250     20  403.0  403.0  403.0
  112.0  16005  -56.9  -85.9      1   0.00    245     18  404.2  404.2  404.2
  110.0  16119  -57.4  -86.1      1   0.00    235     20  405.4  405.4  405.4
  103.0  16535  -59.1  -87.1      2   0.00    270     23  409.8  409.8  409.8
  100.0  16720  -58.5  -86.5      2   0.00    280     18  414.4  414.4  414.4
   96.6  16939  -56.9  -86.9      1   0.00    276     11  421.7  421.7  421.7
   96.0  16978  -57.0  -87.0      1   0.00    275     10  422.1  422.1  422.1
   94.0  17111  -57.5  -87.1      1   0.00    235     10  423.7  423.7  423.7
   91.0  17315  -58.3  -87.4      1   0.00    235     14  426.1  426.1  426.1
   88.0  17527  -59.1  -87.7      1   0.00    270     11  428.6  428.6  428.6
   86.0  17672  -59.7  -87.9      1   0.00    270     10  430.3  430.3  430.3
   84.5  17782  -60.1  -88.1      1   0.00    292     10  431.6  431.6  431.6
